"Statistic","Month","State","UNIT","VALUE"
"Seasonally Adjusted Standardised Unemployment Rate","2006M11","State","%","4.4"
"Seasonally Adjusted Standardised Unemployment Rate","2006M12","State","%","4.5"
"Seasonally Adjusted Standardised Unemployment Rate","2007M01","State","%","4.5"
"Seasonally Adjusted Standardised Unemployment Rate","2007M02","State","%","4.5"
"Seasonally Adjusted Standardised Unemployment Rate","2007M03","State","%","4.5"
"Seasonally Adjusted Standardised Unemployment Rate","2007M04","State","%","4.6"
"Seasonally Adjusted Standardised Unemployment Rate","2007M05","State","%","4.7"
"Seasonally Adjusted Standardised Unemployment Rate","2007M06","State","%","4.7"
"Seasonally Adjusted Standardised Unemployment Rate","2007M07","State","%","4.6"
"Seasonally Adjusted Standardised Unemployment Rate","2007M08","State","%","4.6"
"Seasonally Adjusted Standardised Unemployment Rate","2007M09","State","%","4.7"
"Seasonally Adjusted Standardised Unemployment Rate","2007M10","State","%","4.8"
"Seasonally Adjusted Standardised Unemployment Rate","2007M11","State","%","4.9"
"Seasonally Adjusted Standardised Unemployment Rate","2007M12","State","%","4.9"
"Seasonally Adjusted Standardised Unemployment Rate","2008M01","State","%","4.9"
"Seasonally Adjusted Standardised Unemployment Rate","2008M02","State","%","5"
"Seasonally Adjusted Standardised Unemployment Rate","2008M03","State","%","5.3"
"Seasonally Adjusted Standardised Unemployment Rate","2008M04","State","%","5.4"
"Seasonally Adjusted Standardised Unemployment Rate","2008M05","State","%","5.7"
"Seasonally Adjusted Standardised Unemployment Rate","2008M06","State","%","6"
"Seasonally Adjusted Standardised Unemployment Rate","2008M07","State","%","6.5"
"Seasonally Adjusted Standardised Unemployment Rate","2008M08","State","%","6.9"
"Seasonally Adjusted Standardised Unemployment Rate","2008M09","State","%","7.2"
"Seasonally Adjusted Standardised Unemployment Rate","2008M10","State","%","7.7"
"Seasonally Adjusted Standardised Unemployment Rate","2008M11","State","%","8.1"
"Seasonally Adjusted Standardised Unemployment Rate","2008M12","State","%","8.6"
"Seasonally Adjusted Standardised Unemployment Rate","2009M01","State","%","9.5"
"Seasonally Adjusted Standardised Unemployment Rate","2009M02","State","%","10.2"
"Seasonally Adjusted Standardised Unemployment Rate","2009M03","State","%","10.9"
"Seasonally Adjusted Standardised Unemployment Rate","2009M04","State","%","11.5"
"Seasonally Adjusted Standardised Unemployment Rate","2009M05","State","%","12.1"
"Seasonally Adjusted Standardised Unemployment Rate","2009M06","State","%","12.3"
"Seasonally Adjusted Standardised Unemployment Rate","2009M07","State","%","12.5"
"Seasonally Adjusted Standardised Unemployment Rate","2009M08","State","%","12.6"
"Seasonally Adjusted Standardised Unemployment Rate","2009M09","State","%","12.9"
"Seasonally Adjusted Standardised Unemployment Rate","2009M10","State","%","13"
"Seasonally Adjusted Standardised Unemployment Rate","2009M11","State","%","13"
"Seasonally Adjusted Standardised Unemployment Rate","2009M12","State","%","13"
"Seasonally Adjusted Standardised Unemployment Rate","2010M01","State","%","13.1"
"Seasonally Adjusted Standardised Unemployment Rate","2010M02","State","%","13"
"Seasonally Adjusted Standardised Unemployment Rate","2010M03","State","%","13.2"
"Seasonally Adjusted Standardised Unemployment Rate","2010M04","State","%","13.5"
"Seasonally Adjusted Standardised Unemployment Rate","2010M05","State","%","13.8"
"Seasonally Adjusted Standardised Unemployment Rate","2010M06","State","%","13.7"
"Seasonally Adjusted Standardised Unemployment Rate","2010M07","State","%","13.8"
"Seasonally Adjusted Standardised Unemployment Rate","2010M08","State","%","13.9"
"Seasonally Adjusted Standardised Unemployment Rate","2010M09","State","%","14.3"
"Seasonally Adjusted Standardised Unemployment Rate","2010M10","State","%","14.5"
"Seasonally Adjusted Standardised Unemployment Rate","2010M11","State","%","14.7"
"Seasonally Adjusted Standardised Unemployment Rate","2010M12","State","%","14.7"
"Seasonally Adjusted Standardised Unemployment Rate","2011M01","State","%","14.5"
"Seasonally Adjusted Standardised Unemployment Rate","2011M02","State","%","14.4"
"Seasonally Adjusted Standardised Unemployment Rate","2011M03","State","%","14.4"
"Seasonally Adjusted Standardised Unemployment Rate","2011M04","State","%","14.4"
"Seasonally Adjusted Standardised Unemployment Rate","2011M05","State","%","14.4"
"Seasonally Adjusted Standardised Unemployment Rate","2011M06","State","%","14.5"
"Seasonally Adjusted Standardised Unemployment Rate","2011M07","State","%","14.7"
"Seasonally Adjusted Standardised Unemployment Rate","2011M08","State","%","14.8"
"Seasonally Adjusted Standardised Unemployment Rate","2011M09","State","%","14.7"
"Seasonally Adjusted Standardised Unemployment Rate","2011M10","State","%","14.8"
"Seasonally Adjusted Standardised Unemployment Rate","2011M11","State","%","14.9"
"Seasonally Adjusted Standardised Unemployment Rate","2011M12","State","%","15"
"Seasonally Adjusted Standardised Unemployment Rate","2012M01","State","%","15"
"Seasonally Adjusted Standardised Unemployment Rate","2012M02","State","%","15.1"
"Seasonally Adjusted Standardised Unemployment Rate","2012M03","State","%","14.9"
"Seasonally Adjusted Standardised Unemployment Rate","2012M04","State","%","14.8"
"Seasonally Adjusted Standardised Unemployment Rate","2012M05","State","%","14.7"
"Seasonally Adjusted Standardised Unemployment Rate","2012M06","State","%","14.8"
"Seasonally Adjusted Standardised Unemployment Rate","2012M07","State","%","14.7"
"Seasonally Adjusted Standardised Unemployment Rate","2012M08","State","%","14.7"
"Seasonally Adjusted Standardised Unemployment Rate","2012M09","State","%","14.5"
"Seasonally Adjusted Standardised Unemployment Rate","2012M10","State","%","14.4"
"Seasonally Adjusted Standardised Unemployment Rate","2012M11","State","%","14.3"
"Seasonally Adjusted Standardised Unemployment Rate","2012M12","State","%","14.1"
"Seasonally Adjusted Standardised Unemployment Rate","2013M01","State","%","13.9"
"Seasonally Adjusted Standardised Unemployment Rate","2013M02","State","%","13.7"
"Seasonally Adjusted Standardised Unemployment Rate","2013M03","State","%","13.6"
"Seasonally Adjusted Standardised Unemployment Rate","2013M04","State","%","13.6"
"Seasonally Adjusted Standardised Unemployment Rate","2013M05","State","%","13.5"
"Seasonally Adjusted Standardised Unemployment Rate","2013M06","State","%","13.3"
